gold,MethodType,CallersT,CallersN,CallersU,CallersCallersT,CallersCallersN,CallersCallersU,CalleesT,CalleesN,CalleesU,CalleesCalleesT,CalleesCalleesN,CalleesCalleesU,classGold,VariableTraceValue
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,N
T,Inner,0,1,0,0,0,0,0,1,0,0,0,1,Trace,T
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,1,0,1,1,1,1,1,NoTrace,N
T,Leaf,0,1,1,0,1,0,0,0,0,0,0,0,Trace,T
N,Leaf,1,1,1,1,1,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,x
N,Inner,0,1,0,0,0,1,0,1,0,0,1,1,NoTrace,N
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0,NoTrace,x
N,Inner,0,1,0,0,1,1,0,1,1,1,1,1,Trace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,U
T,Inner,0,1,0,0,1,0,0,1,1,0,1,1,Trace,U
N,Inner,0,1,0,0,1,0,0,1,0,0,1,1,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace,x
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,0,0,0,1,0,0,0,NoTrace,N
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,x
N,Root,0,0,0,0,0,0,0,1,0,0,1,0,NoTrace,x
N,Root,0,0,0,0,0,0,0,1,0,1,1,1,Trace,x
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0,NoTrace,N
N,Root,0,0,0,0,0,0,0,1,1,0,0,1,NoTrace,U
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,1,0,1,0,0,0,0,NoTrace,x
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace,x
T,Inner,1,0,0,0,1,0,1,1,1,1,1,1,Trace,T
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,T
N,Inner,0,1,0,0,0,0,0,1,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,0,0,1,1,Trace,x
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,1,0,1,0,0,0,0,NoTrace,U
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,U
T,Inner,0,1,1,0,0,0,1,0,0,0,0,0,Trace,x
N,Inner,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,Trace,x
N,Root,0,0,0,0,0,0,0,1,0,0,0,0,NoTrace,x
N,Leaf,0,1,1,0,1,0,0,0,0,0,0,0,NoTrace,x
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,N
T,Leaf,0,1,0,1,0,0,0,0,0,0,0,0,Trace,T
N,Inner,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace,N
T,Root,0,0,0,0,0,0,1,1,1,0,1,1,Trace,T
N,Leaf,0,0,1,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace,N
N,Root,0,0,0,0,0,0,0,1,0,0,1,0,Trace,N
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,Trace,N
T,Inner,1,1,0,1,0,0,1,1,1,0,0,0,Trace,T
N,Leaf,1,1,1,1,1,1,0,0,0,0,0,0,Trace,N
T,Root,0,0,0,0,0,0,1,0,0,0,0,0,Trace,N
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0,Trace,N
T,Inner,1,0,0,1,0,0,0,1,0,0,0,0,Trace,T
N,Root,0,0,0,0,0,0,0,1,0,0,1,1,NoTrace,x
T,Leaf,1,1,0,0,0,0,0,0,0,0,0,0,Trace,T
N,Inner,0,1,0,0,1,1,0,1,1,0,1,0,Trace,x
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace,N
N,Inner,0,1,0,0,0,0,0,1,1,1,1,1,NoTrace,N
T,Leaf,1,1,0,1,0,1,0,0,0,0,0,0,Trace,T
T,Leaf,1,0,0,1,0,1,0,0,0,0,0,0,Trace,N
N,Inner,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace,x
N,Inner,0,1,1,0,1,1,0,1,0,0,1,0,Trace,T
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,Trace,T
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,x
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
T,Inner,0,1,0,1,0,0,1,0,1,0,0,0,Trace,T
N,Inner,0,1,1,0,1,0,0,0,1,0,0,0,Trace,N
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,T
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,0,0,0,0,Trace,x
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,U
N,Root,0,0,0,0,0,0,0,1,0,0,0,0,NoTrace,x
N,Inner,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace,x
N,Inner,0,1,0,0,1,0,0,1,1,1,0,0,NoTrace,N
N,Inner,0,0,1,0,0,1,0,1,0,0,1,0,NoTrace,x
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
T,Inner,0,1,0,1,0,1,1,1,1,1,1,1,Trace,T
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,Trace,x
N,Inner,0,1,0,0,1,1,0,1,1,0,1,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,T
N,Inner,0,1,0,0,1,0,0,1,0,0,0,1,NoTrace,N
N,Inner,0,1,0,0,0,0,0,1,1,0,1,0,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace,x
N,Inner,0,1,0,0,1,0,0,1,0,0,1,0,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,1,0,0,0,NoTrace,N
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace,x
N,Inner,0,1,0,0,0,1,0,1,1,0,1,0,NoTrace,U
N,Inner,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace,N
T,Leaf,1,0,0,1,1,0,0,0,0,0,0,0,Trace,T
T,Leaf,0,1,1,0,0,0,0,0,0,0,0,0,Trace,T
T,Leaf,1,0,0,0,1,0,0,0,0,0,0,0,Trace,T
N,Inner,0,0,1,0,0,1,1,0,1,0,0,0,Trace,x
N,Inner,0,1,0,0,1,1,0,1,0,0,1,1,Trace,x
N,Inner,1,1,1,1,1,1,0,1,0,0,0,0,Trace,x
N,Inner,0,1,0,0,1,0,0,1,1,0,0,0,Trace,N
N,Inner,0,0,1,0,0,0,0,1,1,0,1,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace,N
T,Inner,1,0,0,0,0,1,1,1,1,1,1,0,Trace,U
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,1,0,0,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,1,0,1,0,0,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,0,1,0,0,1,0,0,0,0,0,0,NoTrace,x
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,Trace,U
T,Leaf,1,1,0,0,1,0,0,0,0,0,0,0,Trace,T
N,Inner,0,1,0,0,1,1,0,1,1,0,1,0,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,0,0,0,0,Trace,N
N,Leaf,0,1,1,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0,NoTrace,N
N,Root,0,0,0,0,0,0,0,1,1,0,0,1,NoTrace,U
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,NoTrace,N
N,Leaf,1,1,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,0,0,0,1,0,0,1,0,NoTrace,N
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,x
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,1,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,1,1,1,1,NoTrace,x
N,Inner,0,1,0,0,1,0,0,1,0,0,0,0,Trace,U
N,Inner,0,1,0,0,1,1,0,1,0,0,0,0,NoTrace,N
N,Inner,0,1,1,1,1,1,1,0,0,0,1,0,Trace,T
N,Inner,0,1,0,0,1,0,0,1,1,0,0,0,Trace,N
T,Leaf,1,1,0,0,0,0,0,0,0,0,0,0,Trace,T
N,Inner,0,1,0,0,1,0,0,1,1,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
T,Inner,1,0,0,0,1,0,1,1,1,1,1,1,Trace,x
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0,Trace,T
T,Leaf,1,1,0,1,1,1,0,0,0,0,0,0,Trace,T
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,1,1,0,0,1,1,1,1,1,Trace,x
N,Inner,0,1,0,0,1,0,0,1,0,0,1,0,NoTrace,x
N,Root,0,0,0,0,0,0,0,1,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace,N
T,Root,0,0,0,0,0,0,0,1,0,1,1,1,Trace,T
N,Inner,0,1,1,0,1,1,0,1,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,1,0,0,0,NoTrace,N
N,Inner,0,1,1,0,1,1,0,1,0,0,1,1,NoTrace,N
N,Root,0,0,0,0,0,0,1,1,1,0,1,1,Trace,N
T,Root,0,0,0,0,0,0,0,1,0,0,0,0,Trace,T
N,Inner,0,1,1,0,1,0,0,1,0,0,0,0,NoTrace,U
N,Inner,0,1,0,0,1,0,0,1,0,0,1,1,Trace,N
N,Inner,0,1,0,0,1,0,0,1,0,0,1,0,Trace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,U
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,1,1,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Root,0,0,0,0,0,0,1,0,1,0,0,0,Trace,x
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,Trace,x
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,N
T,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0,Trace,U
T,Leaf,0,1,0,1,0,0,0,0,0,0,0,0,Trace,T
T,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace,x
T,Inner,1,1,0,1,1,0,1,1,1,1,1,1,Trace,x
N,Root,0,0,0,0,0,0,1,1,0,1,0,0,Trace,N
T,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,Trace,T
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,x
N,Leaf,1,0,1,0,0,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,N
T,Leaf,0,1,0,1,0,0,0,0,0,0,0,0,Trace,T
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,Trace,N
N,Inner,0,1,0,0,1,1,0,1,0,0,1,1,NoTrace,N
T,Inner,1,0,0,0,1,0,1,1,0,0,0,1,Trace,N
N,Inner,0,1,0,0,1,0,0,1,0,0,1,1,NoTrace,N
N,Leaf,1,1,0,0,1,0,0,0,0,0,0,0,Trace,N
T,Root,0,0,0,0,0,0,0,1,0,0,0,0,Trace,x
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace,x
N,Leaf,0,1,0,1,0,0,0,0,0,0,0,0,Trace,N
N,Root,0,0,0,0,0,0,0,1,1,0,1,0,NoTrace,x
N,Inner,0,1,0,0,0,1,0,0,1,0,1,1,Trace,U
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,N
T,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,U
N,Inner,0,1,0,0,1,1,0,1,1,0,1,1,NoTrace,N
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Inner,1,0,0,0,1,1,0,1,1,0,1,0,Trace,T
N,Root,0,0,0,0,0,0,0,1,1,0,0,1,NoTrace,N
N,Root,0,0,0,0,0,0,1,0,1,0,0,1,Trace,x
T,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,Trace,T
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,T
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace,N
T,Inner,1,0,0,1,0,1,0,1,0,0,0,0,Trace,U
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0,NoTrace,N
T,Leaf,1,0,0,0,0,0,0,0,0,0,0,0,Trace,T
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,0,1,0,0,1,0,1,0,1,0,0,Trace,x
N,Inner,0,1,0,0,1,0,0,1,0,0,0,1,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
T,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,NoTrace,N
T,Leaf,1,0,0,0,0,0,0,0,0,0,0,0,Trace,T
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
T,Inner,0,0,1,0,0,1,0,1,0,0,1,0,Trace,x
N,Leaf,0,1,1,0,1,1,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,0,0,0,0,Trace,T
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,1,0,1,0,0,0,0,0,0,Trace,N
N,Inner,0,1,0,0,1,1,0,1,1,0,0,0,NoTrace,N
N,Inner,0,1,0,0,0,0,0,0,1,0,0,1,NoTrace,U
N,Inner,0,1,1,0,0,1,0,1,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Root,0,0,0,0,0,0,0,1,0,0,1,1,NoTrace,x
N,Root,0,0,0,0,0,0,0,1,0,0,1,1,NoTrace,x
T,Inner,0,1,0,0,1,0,0,1,1,0,0,0,Trace,N
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1,Trace,U
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,T
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,0,1,1,1,Trace,N
T,Inner,1,0,0,1,1,0,0,1,1,0,1,0,Trace,T
N,Root,0,0,0,0,0,0,0,1,1,0,0,0,NoTrace,U
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,1,0,1,0,0,1,1,NoTrace,N
T,Inner,1,1,0,1,0,1,1,1,1,0,1,0,Trace,x
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,1,0,0,0,0,0,0,0,0,0,Trace,N
N,Inner,0,1,0,0,1,0,0,1,0,0,1,0,NoTrace,N
N,Leaf,0,1,1,0,1,0,0,0,0,0,0,0,Trace,x
N,Leaf,0,1,0,0,0,1,0,0,0,0,0,0,NoTrace,N
N,Root,0,0,0,0,0,0,0,1,0,0,1,0,NoTrace,x
N,Inner,0,1,0,0,0,0,0,0,1,0,0,1,NoTrace,U
T,Leaf,1,0,0,0,0,0,0,0,0,0,0,0,Trace,x
N,Root,0,0,0,0,0,0,0,1,0,0,1,1,NoTrace,N
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Root,0,0,0,0,0,0,0,1,0,0,0,0,NoTrace,N
N,Inner,0,1,1,0,1,0,0,0,1,0,0,0,NoTrace,N
T,Inner,0,1,0,0,1,0,1,0,0,0,0,0,Trace,T
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,Trace,U
N,Inner,0,1,0,0,1,0,0,1,0,0,1,1,Trace,x
N,Inner,0,0,1,0,0,0,0,1,0,0,1,0,Trace,T
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,NoTrace,N
N,Root,0,0,0,0,0,0,1,0,1,1,1,0,Trace,N
N,Leaf,1,0,0,0,1,0,0,0,0,0,0,0,Trace,U
N,Inner,0,1,0,0,0,1,0,1,0,0,1,1,NoTrace,N
N,Inner,0,1,0,1,0,1,1,1,1,0,1,0,Trace,T
T,Leaf,1,1,1,1,1,1,0,0,0,0,0,0,Trace,T
T,Inner,0,1,0,0,1,0,0,1,0,1,1,1,Trace,T
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Root,0,0,0,0,0,0,0,1,0,0,0,0,NoTrace,x
N,Root,0,0,0,0,0,0,0,1,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,1,1,1,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,x
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,1,0,1,1,0,1,0,0,0,0,NoTrace,x
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,x
N,Inner,0,1,1,0,1,0,0,0,1,0,0,0,Trace,N
N,Root,0,0,0,0,0,0,0,1,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,0,1,0,1,0,0,1,0,Trace,x
N,Leaf,0,1,1,0,1,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Root,0,0,0,0,0,0,0,1,1,0,1,0,Trace,N
N,Inner,0,1,1,0,1,0,0,1,0,0,1,0,NoTrace,x
N,Root,0,0,0,0,0,0,1,1,1,1,1,1,Trace,T
N,Inner,0,1,1,1,0,0,0,1,0,1,1,0,Trace,x
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Root,0,0,0,0,0,0,0,1,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,NoTrace,N
N,Leaf,1,1,0,0,1,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
T,Inner,1,0,0,0,0,1,0,1,0,0,1,1,Trace,T
T,Leaf,1,0,0,0,1,0,0,0,0,0,0,0,Trace,T
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,U
N,Root,0,0,0,0,0,0,0,1,1,0,1,1,Trace,N
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,Trace,N
T,Root,0,0,0,0,0,0,1,1,0,0,0,0,Trace,N
T,Leaf,0,1,0,1,0,0,0,0,0,0,0,0,Trace,N
T,Leaf,1,1,0,0,1,0,0,0,0,0,0,0,Trace,T
N,Inner,1,1,1,1,1,1,1,0,0,0,0,0,Trace,x
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,1,0,1,0,0,1,1,NoTrace,N
N,Leaf,0,1,1,0,1,0,0,0,0,0,0,0,Trace,N
N,Inner,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace,U
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,Trace,N
T,Leaf,1,1,0,0,1,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,U
N,Inner,0,0,1,0,0,1,0,1,0,0,1,0,NoTrace,x
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Root,0,0,0,0,0,0,0,1,0,0,1,0,NoTrace,N
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,x
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
T,Leaf,1,0,0,0,1,1,0,0,0,0,0,0,Trace,N
N,Inner,0,1,0,0,1,1,0,1,1,0,0,0,NoTrace,N
T,Inner,1,0,0,1,0,0,0,1,0,0,0,0,Trace,T
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,Trace,N
T,Leaf,0,1,0,1,0,1,0,0,0,0,0,0,Trace,T
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Root,0,0,0,0,0,0,0,1,1,0,1,0,Trace,N
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,0,1,0,0,0,0,0,0,Trace,N
N,Root,0,0,0,0,0,0,0,1,1,0,1,0,NoTrace,N
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace,x
T,Root,0,0,0,0,0,0,0,1,0,1,0,0,Trace,x
N,Inner,0,0,1,0,0,0,0,1,1,0,1,0,NoTrace,N
T,Leaf,0,1,1,1,1,1,0,0,0,0,0,0,Trace,T
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace,N
T,Leaf,0,1,1,0,1,1,0,0,0,0,0,0,Trace,T
N,Inner,0,1,0,0,0,0,1,1,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,U
N,Root,0,0,0,0,0,0,0,1,0,0,1,1,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,N
N,Root,0,0,0,0,0,0,0,1,1,0,1,0,Trace,N
N,Root,0,0,0,0,0,0,0,1,0,0,0,0,NoTrace,N
T,Leaf,1,0,0,0,1,1,0,0,0,0,0,0,Trace,T
T,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,Trace,x
N,Inner,0,1,0,0,1,0,0,1,0,0,0,0,NoTrace,N
N,Leaf,0,1,1,0,0,0,0,0,0,0,0,0,Trace,N
N,Inner,0,1,1,0,1,1,0,1,1,0,1,1,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,1,0,1,1,0,1,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,x
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,0,1,0,1,1,0,1,0,NoTrace,U
N,Inner,0,1,0,0,1,0,0,1,0,0,0,0,Trace,N
T,Leaf,1,0,0,0,0,0,0,0,0,0,0,0,Trace,T
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,Trace,x
N,Root,0,0,0,0,0,0,0,1,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,0,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,N
N,Leaf,1,0,0,0,0,0,0,0,0,0,0,0,Trace,N
N,Leaf,0,1,0,0,1,1,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,1,0,1,1,0,1,0,NoTrace,N
T,Leaf,0,1,0,1,1,1,0,0,0,0,0,0,Trace,T
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace,x
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,Trace,x
N,Leaf,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace,N
T,Inner,1,0,0,1,0,0,1,0,0,0,0,1,Trace,T
